"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"10","1BlkCreole","RT @Starbucks: ⚡️ “Good is happening everywhere. #GiveGood”

https://t.co/FaH5HoECox",614,0,1,1,-122.4194155,37.7749295
"12","1workwife","RT @MTazewell: Be a blessing to someone today!  #GiveGood",1,0,1,1,-120.7401385,47.7510741
"15","3lliette","@Starbucks #givegood this holiday season",0,0,0,0,-87.6297982,41.8781136
"16","4thwithmissD","RT @Starbucks: ⚡️ “Good is happening everywhere. #GiveGood”

https://t.co/FaH5HoECox",614,0,1,1,-81.5157535,27.6648274
"19","81feelingfroggy","This the season to go that extra mile and give thanks, give back, and give good ;)  #givegood",0,1,1,1,-82.0034692,39.9786785
"21","AbrielleBair","#GiveGood everyone is going through something, just remember to be kind to everyone who crosses your path, even you… https://t.co/tsYopUDhI8",0,0,0,0,-99.9018131,31.9685988
"22","absinbr","Treat a stranger to coffee. Small gestures = great big good feelings. #givegood",0,1,1,1,-91.1403196,30.4582829
"23","acobrion","I want free Starbucks #givegood",0,0,1,1,-77.4360481,37.5407246
"24","acobrion","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-77.4360481,37.5407246
"26","AdorabibbleIllu","#givegood Menstrual products are always needed in drives during the holiday season! Don't forget hygiene products either :)",0,0,0,0,-95.712891,37.09024
"28","adrianwgibbs","@Starbucks #GiveGood today! Our world becomes more beautiful with every KIND ACT SHARED!!! ☕️ #KindnessMatters #rak4mckenzie #raok",0,0,1,1,-81.655651,30.3321838
"39","AllTheNerfDarts","#givegood thankful for Starbucks especially during the holidays ...and especially with gift cards!",0,0,1,1,-86.9833417,34.6059253
"40","AmandaCantwell5","RT @mariap0117: No act of kindness no matter how small, is ever wasted #GiveGood",85,0,0,0,-95.3698028,29.7604267
"42","ameliasprout","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-93.2650108,44.977753
"46","AnavitaHernand1","Starbucks for life #GiveGood",1,1,0,0,-112.0740373,33.4483771
"47","andiebrarian","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-87.658795,41.9497998
"48","AndyNY2","RT @Starbucks: ⚡️ “Good is happening everywhere. #GiveGood”

https://t.co/FaH5HoECox",614,0,1,1,-102.4107493,34.2331373
"49","angelfoxvix","Kind gestures #givegood",0,0,0,0,-98.4842465,39.011902
"54","anncarter","Spread some cheer this year! #givegood",0,0,1,1,-75.8271563,38.8845582
"55","Anne_Headtotoes","RT @MsD422: #givegood  Spread cheer this holiday season by surprising someone with a”just because” act of kindness.",268,0,2,2,-91.8318334,35.20105
"57","annnoedotcom","Believe. #starbucks #givegood #starbuckscoffee #artwork #artist #brew #butfirstcoffee #creative #riseandgrind… https://t.co/CFCwUlkncG",0,1,1,1,-87.7845025,41.8850317
"58","AO_AnnieG","Excited to #GiveGood tomorrow as we pack 135 #BagsOfHope @SPLDecatur!",0,0,1,1,-88.9548001,39.8403147
"59","aporphyria","I have input 1520 foster kid's Christmas wishes! I also spoke to foster  parents, workers and donors. Made gift tag… https://t.co/TFTOApFMAx",0,0,0,0,-95.992775,36.1539816
