"","lon","lat"
"1",NA,NA
"2",-104.990251,39.7392358
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",-82.34082,27.993685
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",-78.6568942,37.4315734
"16",NA,NA
"17",-79.0192997,35.7595731
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",-74.0059728,40.7127753
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",-86.39027,35.8456213
"28",-81.6252073,41.5094709
"29",-86.2283864,43.0630734
"30",NA,NA
"31",-89.3985283,40.6331249
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",-77.0368707,38.9071923
"37",NA,NA
"38",-76.9830358,39.8006553
"39",NA,NA
"40",NA,NA
"41",-90.0489801,35.1495343
"42",NA,NA
"43",NA,NA
"44",NA,NA
"45",-93.9214109,35.1409156
"46",NA,NA
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",-88.9548001,39.8403147
"51",-74.4056612,40.0583238
"52",-106.6055534,35.0853336
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",-117.5931084,34.1063989
"58",NA,NA
"59",-120.7401385,47.7510741
"60",NA,NA
"61",NA,NA
"62",-85.671952,42.977662
"63",-117.1610838,32.715738
"64",-118.2436849,34.0522342
"65",-85.4836557,43.6980782
"66",NA,NA
"67",-87.6297982,41.8781136
"68",NA,NA
"69",-95.992775,36.1539816
"70",-112.0740373,33.4483771
"71",NA,NA
"72",-104.990251,39.7392358
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",-89.9845476,38.6703266
"77",-74.0253715,40.7663711
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",-81.5157535,27.6648274
"82",-90.0715323,29.9510658
"83",NA,NA
"84",-119.045955,35.345629
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",-88.019826,44.519159
"90",-81.655651,30.3321838
"91",NA,NA
"92",-77.0433177,38.9086635
"93",NA,NA
"94",-81.655651,30.3321838
"95",-82.9000751,32.1656221
"96",NA,NA
"97",NA,NA
"98",-89.3985283,40.6331249
"99",NA,NA
"100",NA,NA
"101",-81.0998342,32.0835407
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",-95.3698028,29.7604267
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",-94.8191285,38.8813958
"112",NA,NA
"113",-84.3879824,33.7489954
"114",-119.4179324,36.778261
"115",-78.458708,38.253749
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",-95.3698028,29.7604267
"120",NA,NA
"121",NA,NA
"122",126.9779692,37.566535
"123",NA,NA
"124",NA,NA
"125",101.686855,3.139003
"126",-80.1917902,25.7616798
"127",-89.3985283,40.6331249
"128",NA,NA
"129",-114.0708459,51.0486151
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",-79.3831843,43.653226
"136",-111.6351101,39.4864314
"137",NA,NA
"138",NA,NA
"139",72.8776559,19.0759837
"140",NA,NA
"141",NA,NA
"142",-119.2920585,36.3302284
"143",NA,NA
"144",NA,NA
"145",-118.1164613,34.5794343
"146",NA,NA
"147",NA,NA
"148",-122.7639851,45.3840077
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",-121.4972046,38.5802342
"156",NA,NA
"157",NA,NA
"158",-112.0740373,33.4483771
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",121.033305,14.58437
"166",NA,NA
"167",-122.3432929,47.6107748
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",-71.396725,42.0834313
"172",NA,NA
"173",NA,NA
"174",-3.74922,40.463667
"175",-87.658795,41.9497998
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",-117.1610838,32.715738
"180",-122.3320708,47.6062095
"181",NA,NA
"182",-118.4338345,34.2504595
"183",NA,NA
"184",NA,NA
"185",-81.3792365,28.5383355
"186",NA,NA
"187",-86.8195629,36.1074331
"188",NA,NA
"189",-73.9204158,41.2900939
"190",NA,NA
"191",-85.323214,51.253775
"192",-95.992775,36.1539816
"193",-78.8783689,42.8864468
"194",NA,NA
"195",NA,NA
"196",-118.2436849,34.0522342
"197",NA,NA
"198",NA,NA
"199",-97.229298,32.9341893
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",-87.9196785,43.0405846
"207",NA,NA
"208",-77.1764149,38.7636242
"209",NA,NA
"210",NA,NA
"211",-81.1941138,35.2656247
"212",-118.1170117,33.8816818
"213",-80.8431267,35.2270869
"214",-118.2436849,34.0522342
"215",NA,NA
"216",-122.3320708,47.6062095
"217",NA,NA
"218",-106.346771,56.130366
"219",NA,NA
"220",-84.2700179,37.8393332
"221",NA,NA
"222",NA,NA
"223",-122.4764428,37.7241286
"224",-112.0849402,41.6553589
"225",-106.346771,56.130366
"226",NA,NA
"227",NA,NA
"228",NA,NA
"229",178.065032,-17.713371
"230",-84.3879824,33.7489954
"231",NA,NA
"232",114.109497,22.396428
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",-85.323214,51.253775
"240",-87.7845025,41.8850317
"241",NA,NA
"242",-95.3698028,29.7604267
"243",NA,NA
"244",NA,NA
"245",-118.2436849,34.0522342
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",NA,NA
"250",NA,NA
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",NA,NA
"255",NA,NA
"256",-120.8958242,38.8375215
"257",-102.4107493,34.2331373
"258",NA,NA
"259",NA,NA
"260",NA,NA
"261",NA,NA
"262",NA,NA
"263",NA,NA
"264",NA,NA
"265",NA,NA
"266",NA,NA
"267",NA,NA
"268",-91.8318334,35.20105
"269",-96.7969879,32.7766642
"270",NA,NA
"271",NA,NA
"272",NA,NA
"273",NA,NA
"274",-95.712891,37.09024
"275",-120.7401385,47.7510741
"276",-90.7534258,30.0613122
"277",-95.712891,37.09024
"278",-119.4179324,36.778261
"279",NA,NA
"280",-101.0020119,47.5514926
"281",NA,NA
"282",NA,NA
"283",NA,NA
"284",NA,NA
"285",-95.712891,37.09024
"286",NA,NA
"287",NA,NA
"288",-74.0059728,40.7127753
"289",-122.6432244,48.2931559
"290",NA,NA
"291",NA,NA
"292",NA,NA
"293",NA,NA
"294",-122.5697032,38.1074198
"295",NA,NA
"296",NA,NA
"297",NA,NA
"298",-83.7430378,42.2808256
"299",-73.9234619,40.7643574
"300",-155.0884869,19.7070942
"301",NA,NA
"302",-77.0469214,38.8048355
"303",NA,NA
"304",NA,NA
"305",NA,NA
"306",-111.9318663,41.6388754
"307",-97.7430608,30.267153
"308",-115.1398296,36.1699412
"309",NA,NA
"310",NA,NA
"311",NA,NA
"312",-71.3824374,42.4072107
"313",NA,NA
"314",-78.944148,44.1050454
"315",NA,NA
"316",NA,NA
"317",NA,NA
"318",-84.3879824,33.7489954
"319",NA,NA
"320",NA,NA
"321",-120.7401385,47.7510741
"322",NA,NA
"323",-74.4056612,40.0583238
"324",NA,NA
"325",-111.0937311,34.0489281
"326",NA,NA
"327",NA,NA
"328",NA,NA
"329",-122.2928974,47.1853785
"330",NA,NA
"331",NA,NA
"332",NA,NA
"333",-83.0457538,42.331427
"334",NA,NA
"335",-81.8603778,30.0688512
"336",-119.4179324,36.778261
"337",-80.7469467,35.2925546
"338",NA,NA
"339",NA,NA
"340",-85.323214,51.253775
"341",-119.4179324,36.778261
"342",-77.3063733,38.8462236
"343",NA,NA
"344",NA,NA
"345",-86.9833417,34.6059253
"346",-79.9958864,40.4406248
"347",NA,NA
"348",-91.8318334,37.9642529
"349",NA,NA
"350",-99.9018131,31.9685988
"351",-122.6764815,45.5230622
"352",NA,NA
"353",NA,NA
"354",NA,NA
"355",NA,NA
"356",-93.2650108,44.977753
"357",NA,NA
"358",-120.7401385,47.7510741
"359",NA,NA
"360",-90.0715323,29.9510658
"361",NA,NA
"362",-97.0336417,35.9739448
"363",NA,NA
"364",NA,NA
"365",NA,NA
"366",-85.6023643,44.3148443
"367",NA,NA
"368",-117.7325848,33.9898188
"369",NA,NA
"370",-122.3320708,47.6062095
"371",NA,NA
"372",-81.5157535,27.6648274
"373",NA,NA
"374",NA,NA
"375",-77.0368707,38.9071923
"376",-122.2913078,37.8271784
"377",NA,NA
"378",NA,NA
"379",NA,NA
"380",-122.2823421,47.8638853
"381",-74.9832385,40.1352373
"382",NA,NA
"383",-73.9441579,40.6781784
"384",-81.0739825,33.9934867
"385",NA,NA
"386",-83.9207392,35.9606384
"387",-120.7401385,47.7510741
"388",-120.1585339,54.1521752
"389",NA,NA
"390",-75.6971931,45.4215296
"391",-97.7430608,30.267153
"392",-128.6340211,66.2556759
"393",-70.2601759,43.7435343
"394",NA,NA
"395",-94.8191285,38.8813958
"396",NA,NA
"397",-118.369159,34.0757497
"398",-76.8996474,39.3491115
"399",NA,NA
"400",-0.1277583,51.5073509
"401",-97.7430608,30.267153
"402",NA,NA
"403",NA,NA
"404",NA,NA
"405",-106.346771,56.130366
"406",-91.8318334,37.9642529
"407",NA,NA
"408",NA,NA
"409",NA,NA
"410",NA,NA
"411",-74.0059728,40.7127753
"412",NA,NA
"413",-88.7878678,43.7844397
"414",-71.0588801,42.3600825
"415",-77.6109219,43.16103
"416",-97.092877,35.0077519
"417",-86.158068,39.768403
