"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"10","13Chhetri","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-119.4179324,36.778261
"15","1snowlady","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-85.323214,51.253775
"18","a_mtudor","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.962422,36.039666
"19","AAdcox","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"25","acidalexandra","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-74.0059728,40.7127753
"28","AdrienneDLR","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.383834,43.653109
"32","aidans25mum","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.2578681,43.7753194
"46","amandaaaq","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"56","amylnewfield","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"65","AngeLA_Eck","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-73.567256,45.5016889
"78","anyelika_ricart","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.5157535,27.6648274
"80","AprilApril14333","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-71.0588801,42.3600825
"81","Archie556","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"89","AshwinaPatel","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-87.6297982,41.8781136
"91","AskGenny","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"98","Babsblw","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.1999949,44.0383744
"105","barbsofnicki","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-82.9000751,32.1656221
"107","batchicky","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-72.9026064,41.3838782
"108","bblover628","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"109","bbygrl21","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-86.1349019,40.2671941
"116","Becky1325","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.0192997,35.7595731
"120","BethkazV","@davelackie #StarbucksAtHome daughters favorite",0,0,1,1,-74.4056612,40.0583238
"121","BethkazV","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-74.4056612,40.0583238
"123","betsey_pepsi","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-121.5913547,39.1457253
"129","BINJURED","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-80.6495194,41.0997803
"134","BMancusoProject","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-78.7583257,41.1210115
"135","BodnarchukJason","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-97.1383744,49.895136
"136","Bondy8982","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-76.2177046,43.106456
"137","bones5411","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-76.4549457,41.003698
"138","Born2BeMom","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-97.1383744,49.895136
"140","boucharm44","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.4608204,46.3091152
"141","brandyenycole","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-82.3534727,36.3134397
"142","bren2468","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-85.323214,51.253775
"147","bskye7","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-74.0059728,40.7127753
"149","bubblesarah","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.4112203,37.3456569
"156","caitlin_melody","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.0192997,35.7595731
"160","CandyceAcosta21","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-115.1398296,36.1699412
"161","carencollins88","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-88.8853078,30.3960318
"163","carlyandjack","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.0192997,35.7595731
"174","changoph1","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"177","char_zhazha","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.981931,34.994356
"192","chrissyscimeca","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-75.5521866,40.5415861
"196","cici_0909","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"198","cmeaton","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.6441198,43.5890452
"199","cogi1962","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-89.3985283,40.6331249
"205","compatabel","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.8711024,43.2557206
"209","countrygirl0828","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"210","cowladydeland","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"212","CraftyGirl47331","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-86.1349019,40.2671941
