"","lon","lat"
"1",NA,NA
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",-84.2700179,37.8393332
"11",-1.759398,53.795984
"12",NA,NA
"13",NA,NA
"14",-118.4396756,34.1825782
"15",-1.4043509,50.9097004
"16",NA,NA
"17",-71.0588801,42.3600825
"18",-1.1743197,52.3555177
"19",88.363895,22.572646
"20",NA,NA
"21",28.2176379,36.4340533
"22",-97.1383744,49.895136
"23",-118.7986152,55.1699396
"24",-2.582859,53.473956
"25",NA,NA
"26",NA,NA
"27",-123.1207375,49.2827291
"28",NA,NA
"29",NA,NA
"30",-1.2464674,51.7612056
"31",NA,NA
"32",NA,NA
"33",-52.7707673,47.561317
"34",-84.5037164,38.0405837
"35",-4.5789271,55.9887061
"36",NA,NA
"37",NA,NA
"38",-123.1386021,45.5469616
"39",NA,NA
"40",NA,NA
"41",NA,NA
"42",-0.1277583,51.5073509
"43",NA,NA
"44",-85.0007653,32.4709761
"45",0.4690888,51.7343313
"46",-87.6297982,41.8781136
"47",NA,NA
"48",NA,NA
"49",-81.5157535,27.6648274
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",-0.1277583,51.5073509
"54",-79.1681232,34.6461425
"55",NA,NA
"56",NA,NA
"57",-94.6858998,46.729553
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",-0.1277583,51.5073509
"62",NA,NA
"63",-79.3831843,43.653226
"64",NA,NA
"65",NA,NA
"66",25.7481511,61.92411
"67",NA,NA
"68",-57.6604364,53.1355091
"69",NA,NA
"70",-0.1277583,51.5073509
"71",-0.1277583,51.5073509
"72",NA,NA
"73",-4.251806,55.864237
"74",NA,NA
"75",-79.3831843,43.653226
"76",-1.332134,52.829374
"77",-120.7401385,47.7510741
"78",NA,NA
"79",-0.0646437,51.5517953
"80",-119.4179324,36.778261
"81",-71.0588801,42.3600825
"82",NA,NA
"83",NA,NA
"84",-4.251806,55.864237
"85",NA,NA
"86",-85.1393513,41.079273
"87",-79.0192997,35.7595731
"88",120.5960071,16.4023332
"89",-79.7990319,43.3255196
"90",23.7275388,37.9838096
"91",-76.6412712,39.0457549
"92",NA,NA
"93",NA,NA
"94",-106.346771,56.130366
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",22.937506,-30.559482
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",23.7275388,37.9838096
"111",-3.576945,51.504286
"112",-0.563166,47.478419
"113",-3.435973,55.378051
"114",NA,NA
"115",NA,NA
"116",-77.112036,-12.0240527
"117",24.9139344,37.4385028
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",-95.712891,37.09024
"125",NA,NA
"126",-87.6297982,41.8781136
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",-82.9000751,32.1656221
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",27.9770241,-26.1905331
"139",-93.2009998,44.9374831
"140",24.8092691,35.240117
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",0.235288,51.590448
"149",-84.065693,33.822663
"150",NA,NA
"151",-98.7375911,37.6439071
"152",NA,NA
"153",NA,NA
"154",-83.985,42.43472
"155",-4.2026458,56.4906712
"156",-1.1743197,52.3555177
"157",NA,NA
"158",-119.4179324,36.778261
"159",NA,NA
"160",-85.323214,51.253775
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",-85.323214,51.253775
"165",NA,NA
"166",15.2551187,54.5259614
"167",28.9783589,41.0082376
"168",NA,NA
"169",-111.6488322,40.1613903
"170",-113.4909267,53.544389
"171",NA,NA
"172",-8.6304976,52.6680204
"173",30.3794118,-29.6006068
"174",-95.3698028,29.7604267
"175",-3.435973,55.378051
"176",NA,NA
"177",-104.6061942,50.4725134
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",-105.7820674,39.5500507
"186",-113.5760576,53.307103
"187",NA,NA
"188",-79.3831843,43.653226
"189",NA,NA
"190",-79.9958864,40.4406248
"191",-1.1743197,52.3555177
"192",-95.712891,37.09024
"193",NA,NA
"194",-1.890401,52.486243
"195",-79.3831843,43.653226
"196",80.3510049,26.4672695
"197",-75.8986835,45.3088185
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",14.5057515,46.0569465
"202",NA,NA
"203",NA,NA
"204",-95.712891,37.09024
"205",NA,NA
"206",-2.5969501,53.3900441
"207",-106.346771,56.130366
"208",NA,NA
"209",NA,NA
"210",-75.8179764,40.4539828
"211",NA,NA
"212",22.9037753,40.6661376
"213",NA,NA
"214",-74.0059728,40.7127753
"215",NA,NA
"216",-106.346771,56.130366
"217",-122.3044697,49.0504377
"218",75.8034127,26.9443943
"219",NA,NA
"220",-79.3831843,43.653226
"221",-0.1277583,51.5073509
"222",-116.5765035,53.9332706
"223",NA,NA
"224",-95.962422,36.039666
"225",NA,NA
"226",-75.2993417,40.2798274
"227",NA,NA
"228",NA,NA
"229",NA,NA
"230",-82.9000751,32.1656221
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",-3.3821421,51.6858341
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",-75.6971931,45.4215296
"243",NA,NA
"244",NA,NA
"245",-115.1398296,36.1699412
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",NA,NA
"250",NA,NA
"251",-79.3831843,43.653226
"252",NA,NA
"253",-81.5157535,27.6648274
"254",NA,NA
"255",-99.9018131,31.9685988
"256",NA,NA
"257",NA,NA
"258",NA,NA
"259",-2.015907,52.504923
"260",NA,NA
"261",NA,NA
"262",-97.1383744,49.895136
"263",-95.712891,37.09024
"264",-95.2340558,39.005288
"265",-70.6672621,41.9584457
"266",-81.5157535,27.6648274
"267",-78.7583257,41.1210115
"268",-104.9657875,39.7470085
"269",NA,NA
"270",NA,NA
"271",NA,NA
"272",10.451526,51.165691
"273",-79.3831843,43.653226
"274",NA,NA
"275",45.079162,23.885942
"276",NA,NA
"277",NA,NA
"278",NA,NA
"279",NA,NA
"280",NA,NA
"281",NA,NA
"282",NA,NA
"283",-85.323214,51.253775
"284",NA,NA
"285",NA,NA
"286",NA,NA
"287",NA,NA
"288",NA,NA
"289",-119.4356211,48.9390509
"290",-99.9018131,31.9685988
"291",NA,NA
"292",NA,NA
"293",-97.4780954,35.6528323
"294",NA,NA
"295",NA,NA
"296",NA,NA
"297",NA,NA
"298",NA,NA
"299",-79.383834,43.653109
"300",NA,NA
"301",-116.278007,34.210934
"302",NA,NA
"303",NA,NA
"304",-88.8853078,30.3960318
"305",NA,NA
"306",NA,NA
"307",NA,NA
"308",NA,NA
"309",-82.907123,40.4172871
"310",NA,NA
"311",NA,NA
"312",NA,NA
"313",NA,NA
"314",NA,NA
"315",-95.712891,37.09024
"316",-119.7680951,39.4995907
"317",NA,NA
"318",-115.1398296,36.1699412
"319",-99.1013498,19.2464696
"320",NA,NA
"321",-3.435973,55.378051
"322",NA,NA
"323",NA,NA
"324",NA,NA
"325",-71.0328284,42.3917638
"326",NA,NA
"327",0.7077123,51.5459269
"328",-1.61778,54.978252
"329",NA,NA
"330",NA,NA
"331",-76.4549457,41.003698
"332",NA,NA
"333",NA,NA
"334",28.9783589,41.0082376
"335",-95.4112203,37.3456569
"336",NA,NA
"337",-79.3831843,43.653226
"338",NA,NA
"339",NA,NA
"340",NA,NA
"341",NA,NA
"342",NA,NA
"343",-79.7990319,43.3255196
"344",NA,NA
"345",NA,NA
"346",-3.435973,55.378051
"347",-106.346771,56.130366
"348",NA,NA
"349",NA,NA
"350",NA,NA
"351",NA,NA
"352",NA,NA
"353",-87.4044868,46.5596032
"354",2.213749,46.227638
"355",NA,NA
"356",23.8584737,38.0457568
"357",NA,NA
"358",-122.6293714,45.5121772
"359",NA,NA
"360",NA,NA
"361",-79.3831843,43.653226
"362",23.7379786,38.0339984
"363",NA,NA
"364",-98.4936282,29.4241219
"365",NA,NA
"366",NA,NA
"367",NA,NA
"368",NA,NA
"369",NA,NA
"370",-79.3831843,43.653226
"371",-79.0192997,35.7595731
"372",NA,NA
"373",NA,NA
"374",NA,NA
"375",22.9444191,40.6400629
"376",-1.1743197,52.3555177
"377",-75.6971931,45.4215296
"378",NA,NA
"379",-81.5157535,27.6648274
"380",-79.418299,43.6346141
"381",NA,NA
"382",NA,NA
"383",NA,NA
"384",NA,NA
"385",-3.435973,55.378051
"386",NA,NA
"387",-86.1349019,40.2671941
"388",-85.323214,51.253775
"389",22.7288576,37.6351721
"390",NA,NA
"391",NA,NA
"392",NA,NA
"393",NA,NA
"394",NA,NA
"395",NA,NA
"396",22.9444191,40.6400629
"397",NA,NA
"398",-82.2106876,36.3487196
"399",-73.9865533,40.7263542
"400",-79.3831843,43.653226
"401",NA,NA
"402",-90.1994042,38.6270025
"403",NA,NA
"404",NA,NA
"405",-79.3831843,43.653226
"406",NA,NA
"407",NA,NA
"408",NA,NA
"409",NA,NA
"410",-2.58791,51.454513
"411",NA,NA
"412",NA,NA
"413",-0.1277583,51.5073509
"414",NA,NA
"415",-101.8762147,54.7657685
"416",NA,NA
"417",-0.1277583,51.5073509
"418",NA,NA
"419",NA,NA
"420",NA,NA
"421",NA,NA
"422",22.4191254,39.6390224
"423",NA,NA
"424",-79.3831843,43.653226
"425",-3.7837117,52.1306607
"426",-3.188267,55.953252
"427",NA,NA
"428",-79.1415018,43.0890352
"429",NA,NA
"430",NA,NA
"431",2.213749,46.227638
"432",0.937827,52.681618
"433",-82.9824019,39.3331197
"434",NA,NA
"435",-79.6441198,43.5890452
"436",NA,NA
"437",NA,NA
"438",NA,NA
"439",NA,NA
"440",NA,NA
"441",NA,NA
"442",-81.981931,34.994356
"443",-1.76261,53.8108176
"444",NA,NA
"445",NA,NA
"446",-104.6188943,50.4452112
"447",NA,NA
"448",-0.2376744,51.8097823
"449",NA,NA
"450",-87.6297982,41.8781136
"451",4.469936,50.503887
"452",-74.2088056,40.7825346
"453",NA,NA
"454",NA,NA
"455",NA,NA
"456",NA,NA
"457",NA,NA
"458",-2.9915726,53.4083714
"459",NA,NA
"460",NA,NA
"461",NA,NA
"462",NA,NA
"463",NA,NA
"464",NA,NA
"465",-81.981931,34.994356
"466",NA,NA
"467",NA,NA
"468",NA,NA
"469",-79.0192997,35.7595731
"470",-89.3985283,40.6331249
"471",NA,NA
"472",NA,NA
"473",NA,NA
"474",NA,NA
"475",-1.76261,53.8108176
"476",NA,NA
"477",NA,NA
"478",-2.893075,53.193392
"479",10.451526,51.165691
"480",NA,NA
"481",34.851612,31.046051
"482",0.0099831,51.5684629
"483",NA,NA
"484",-85.323214,51.253775
"485",34.851612,31.046051
"486",NA,NA
"487",-95.4560512,30.3118769
"488",NA,NA
"489",23.8584737,38.0457568
"490",24.96676,45.943161
"491",NA,NA
"492",NA,NA
"493",NA,NA
"494",NA,NA
"495",34.851612,31.046051
"496",147.7607426,-37.8043869
"497",NA,NA
"498",-1.1397592,52.6368778
"499",NA,NA
"500",34.851612,31.046051
"501",NA,NA
"502",-106.346771,56.130366
"503",NA,NA
"504",144.3,-38.333333
"505",-1.7797176,51.5557739
"506",NA,NA
"507",-79.8711024,43.2557206
"508",-0.1277583,51.5073509
"509",NA,NA
"510",-89.3985283,40.6331249
"511",26.419389,-32.2968402
"512",NA,NA
"513",-78.9429329,43.8975446
"514",-1.1743197,52.3555177
"515",NA,NA
"516",-84.2700179,37.8393332
"517",-78.649163,41.9564953
"518",4.052545,45.9846475
"519",-79.3831843,43.653226
"520",NA,NA
"521",NA,NA
"522",NA,NA
"523",NA,NA
"524",-3.435973,55.378051
"525",NA,NA
"526",-89.5181476,37.3058839
"527",NA,NA
"528",-81.6943605,41.49932
"529",-113.4909267,53.544389
"530",-0.8722526,51.4857745
"531",NA,NA
"532",NA,NA
"533",NA,NA
"534",-96.3324817,32.9751204
"535",NA,NA
"536",NA,NA
"537",-70.861985,41.991213
"538",NA,NA
"539",-120.7401385,47.7510741
"540",NA,NA
"541",NA,NA
"542",NA,NA
"543",NA,NA
"544",34.851612,31.046051
"545",-2.2405035,53.7892877
"546",-95.712891,37.09024
"547",-90.3070485,38.633222
"548",-84.2424449,40.1447732
"549",-3.435973,55.378051
"550",NA,NA
"551",NA,NA
"552",-75.232664,43.100903
"553",NA,NA
"554",NA,NA
"555",-1.117547,50.794995
"556",NA,NA
"557",-1.61778,54.978252
"558",-74.4056612,40.0583238
"559",NA,NA
"560",NA,NA
"561",NA,NA
"562",NA,NA
"563",NA,NA
"564",NA,NA
"565",NA,NA
"566",-74.4056612,40.0583238
"567",NA,NA
"568",-3.999461,50.7772135
"569",NA,NA
"570",NA,NA
"571",-1.829833,52.4750743
"572",NA,NA
"573",-92.4527467,35.5410511
"574",-79.2578681,43.7753194
"575",-96.8754295,50.1435276
"576",-74.3118212,39.9652553
"577",-79.0192997,35.7595731
"578",NA,NA
"579",-97.7625441,35.5067215
"580",NA,NA
"581",NA,NA
"582",-3.435973,55.378051
"583",NA,NA
"584",NA,NA
"585",NA,NA
"586",-1.1743197,52.3555177
"587",NA,NA
"588",NA,NA
"589",NA,NA
"590",-0.1277583,51.5073509
"591",22.9444191,40.6400629
"592",103.7618154,1.4853682
"593",NA,NA
"594",-106.346771,56.130366
"595",NA,NA
"596",NA,NA
"597",NA,NA
"598",NA,NA
"599",NA,NA
"600",-123.3656444,48.4284207
"601",NA,NA
"602",-71.3128285,41.4901024
"603",NA,NA
"604",NA,NA
"605",NA,NA
"606",-85.323214,51.253775
"607",NA,NA
"608",NA,NA
"609",-0.1039311,51.5350183
"610",-87.6297982,41.8781136
"611",NA,NA
"612",NA,NA
"613",NA,NA
"614",-106.346771,56.130366
"615",23.7275388,37.9838096
"616",NA,NA
"617",-71.4774291,41.5800945
"618",NA,NA
"619",-83.9207392,35.9606384
"620",-1.76261,53.8108176
"621",NA,NA
"622",NA,NA
"623",-4.2026458,56.4906712
"624",NA,NA
"625",-3.7837117,52.1306607
"626",NA,NA
"627",NA,NA
"628",-78.6568942,37.4315734
"629",-74.0059728,40.7127753
"630",NA,NA
"631",NA,NA
"632",NA,NA
"633",NA,NA
"634",NA,NA
"635",NA,NA
"636",-85.323214,51.253775
"637",-1.7850351,53.645792
"638",NA,NA
"639",-97.1383744,49.895136
"640",NA,NA
"641",18.4240553,-33.9248685
"642",-84.2700179,37.8393332
"643",NA,NA
"644",77.1024902,28.7040592
"645",NA,NA
"646",-111.0937311,34.0489281
"647",34.851612,31.046051
"648",NA,NA
"649",NA,NA
"650",-2.7334104,52.2181296
"651",-85.323214,51.253775
"652",-57.6604364,53.1355091
"653",NA,NA
"654",NA,NA
"655",NA,NA
"656",-89.2476823,48.3808951
"657",NA,NA
"658",NA,NA
"659",22.9322383,37.9386365
"660",NA,NA
"661",NA,NA
"662",NA,NA
"663",NA,NA
"664",-90.5776367,41.5236437
"665",NA,NA
"666",NA,NA
"667",NA,NA
"668",-1.304734,50.6938479
"669",-0.1277583,51.5073509
"670",-3.435973,55.378051
"671",-80.0057921,42.8027964
"672",NA,NA
"673",-73.087749,41.6032207
"674",23.6469832,37.9429857
"675",-86.5804473,35.5174913
"676",-85.323214,51.253775
"677",121.016508,14.5122739
"678",-99.9018131,31.9685988
"679",-1.1743197,52.3555177
"680",NA,NA
"681",-81.1637245,33.836081
"682",-3.188267,55.953252
"683",31.0218404,-29.8586804
"684",NA,NA
"685",-4.682364,50.622055
"686",NA,NA
"687",NA,NA
"688",NA,NA
"689",NA,NA
"690",NA,NA
"691",-64.7782313,46.0878165
"692",NA,NA
"693",-3.435973,55.378051
"694",NA,NA
"695",-78.6568942,37.4315734
"696",NA,NA
"697",NA,NA
"698",NA,NA
"699",-84.2700179,37.8393332
"700",NA,NA
"701",NA,NA
"702",NA,NA
"703",NA,NA
"704",NA,NA
"705",-119.4179324,36.778261
"706",NA,NA
"707",NA,NA
"708",-81.5157535,27.6648274
"709",NA,NA
"710",NA,NA
"711",-1.890401,52.486243
"712",-79.9727159,44.3581069
"713",NA,NA
"714",NA,NA
"715",NA,NA
"716",-80.918003,35.5019795
"717",NA,NA
"718",NA,NA
"719",23.8584737,38.0457568
"720",NA,NA
"721",NA,NA
"722",-127.6476205,53.7266683
"723",-68.4194641,44.5434095
"724",NA,NA
"725",31.0218404,-29.8586804
"726",NA,NA
"727",-72.9026064,41.3838782
"728",-1.1743197,52.3555177
"729",NA,NA
"730",21.824312,39.074208
"731",-79.1999949,44.0383744
"732",NA,NA
"733",NA,NA
"734",NA,NA
"735",NA,NA
"736",-1.1743197,52.3555177
"737",-78.5058429,38.8817784
"738",NA,NA
"739",NA,NA
"740",NA,NA
"741",NA,NA
"742",NA,NA
"743",NA,NA
"744",NA,NA
"745",55.2707828,25.2048493
"746",NA,NA
"747",-2.7044052,53.7632254
"748",-121.5913547,39.1457253
"749",NA,NA
"750",NA,NA
"751",-77.1945247,41.2033216
"752",NA,NA
"753",-1.691032,52.633584
"754",NA,NA
"755",-0.1277583,51.5073509
"756",-1.691786,53.905825
"757",-3.435973,55.378051
"758",-97.1383744,49.895136
"759",NA,NA
"760",-4.771983,55.956476
"761",NA,NA
"762",NA,NA
"763",-79.8774042,43.5182991
"764",NA,NA
"765",22.937506,-30.559482
"766",-95.712891,37.09024
"767",-86.902298,32.3182314
"768",-4.2026458,56.4906712
"769",NA,NA
"770",-106.346771,56.130366
"771",NA,NA
"772",NA,NA
"773",-80.6495194,41.0997803
"774",-1.4653607,55.0040345
"775",-77.009474,40.212839
"776",NA,NA
"777",-0.1277583,51.5073509
"778",-2.3620739,53.519164
"779",-3.530875,50.7155591
"780",-7.1100702,52.2593197
"781",-85.323214,51.253775
"782",-113.4909267,53.544389
"783",-95.3698028,29.7604267
"784",-119.4179324,36.778261
"785",NA,NA
"786",28.0473051,-26.2041028
"787",-79.3831843,43.653226
"788",-81.2362107,33.9815369
"789",NA,NA
"790",NA,NA
"791",NA,NA
"792",NA,NA
"793",-4.2026458,56.4906712
"794",-88.7878678,43.7844397
"795",22.937506,-30.559482
"796",NA,NA
"797",-95.712891,37.09024
"798",-1.470085,53.381129
"799",NA,NA
"800",NA,NA
"801",12.56738,41.87194
"802",NA,NA
"803",-6.2603097,53.3498053
"804",-1.5200789,52.2851905
"805",-1.593124,51.759712
"806",22.9444191,40.6400629
"807",NA,NA
"808",NA,NA
"809",NA,NA
"810",-3.106849,51.015344
"811",47.9774052,29.375859
"812",NA,NA
"813",NA,NA
"814",NA,NA
"815",NA,NA
"816",NA,NA
"817",NA,NA
"818",NA,NA
"819",NA,NA
"820",-3.7837117,52.1306607
"821",78.0321918,30.3164945
"822",NA,NA
"823",NA,NA
"824",-79.8761741,34.2998762
"825",NA,NA
"826",23.7275388,37.9838096
"827",NA,NA
"828",-1.1743197,52.3555177
"829",-0.1277583,51.5073509
"830",NA,NA
"831",-85.6023643,44.3148443
"832",-6.2603097,53.3498053
"833",NA,NA
"834",-79.3831843,43.653226
"835",NA,NA
"836",NA,NA
"837",-76.2177046,43.106456
"838",NA,NA
"839",NA,NA
"840",NA,NA
"841",-1.61778,54.978252
"842",-1.829833,52.4750743
"843",NA,NA
"844",15.2551187,54.5259614
"845",NA,NA
"846",NA,NA
"847",NA,NA
"848",NA,NA
"849",NA,NA
"850",NA,NA
"851",NA,NA
"852",-71.3672838,42.5998139
"853",-74.0059728,40.7127753
"854",-79.3831843,43.653226
"855",-79.4608204,46.3091152
"856",NA,NA
"857",NA,NA
"858",-1.1743197,52.3555177
"859",-81.4625919,30.6696818
"860",NA,NA
"861",-4.2026458,56.4906712
"862",NA,NA
"863",NA,NA
"864",NA,NA
"865",NA,NA
"866",-87.6297982,41.8781136
"867",NA,NA
"868",-3.435973,55.378051
"869",-86.1349019,40.2671941
"870",NA,NA
"871",NA,NA
"872",28.0473051,-26.2041028
"873",NA,NA
"874",-3.0298075,53.18569
"875",NA,NA
"876",-66.063308,45.2733153
"877",NA,NA
"878",-79.3831843,43.653226
"879",NA,NA
"880",NA,NA
"881",34.851612,31.046051
"882",NA,NA
"883",19.699024,48.669026
"884",NA,NA
"885",-79.3831843,43.653226
"886",NA,NA
"887",NA,NA
"888",-79.3831843,43.653226
"889",-79.3831843,43.653226
"890",NA,NA
"891",-86.6302625,33.3401108
"892",NA,NA
"893",NA,NA
