"","lon","lat"
"1",NA,NA
"2",-122.801094,49.1044302
"3",-117.1610838,32.715738
"4",-91.0517953,30.4260638
"5",-99.9018131,31.9685988
"6",-82.907123,40.4172871
"7",NA,NA
"8",-81.5157535,27.6648274
"9",-71.2079809,46.8138783
"10",NA,NA
"11",NA,NA
"12",-75.5668166,39.6620397
"13",NA,NA
"14",NA,NA
"15",-88.0834059,42.0333607
"16",NA,NA
"17",-85.6023643,44.3148443
"18",NA,NA
"19",NA,NA
"20",-86.7816016,36.1626638
"21",-97.0780654,32.9342919
"22",NA,NA
"23",-80.1917902,25.7616798
"24",NA,NA
"25",NA,NA
"26",-86.5263879,39.7606013
"27",-80.2706044,26.271192
"28",-80.1373174,26.1224386
"29",-118.2436849,34.0522342
"30",-71.0588801,42.3600825
"31",-94.6707917,38.9822282
"32",-73.1241488,40.8064187
"33",NA,NA
"34",-88.7878678,43.7844397
"35",-122.2913078,37.8271784
"36",-74.4056612,40.0583238
"37",-115.1175013,36.1988592
"38",NA,NA
"39",-105.8700901,34.5199402
"40",NA,NA
"41",NA,NA
"42",NA,NA
"43",NA,NA
"44",-117.0718638,32.6602282
"45",-95.712891,37.09024
"46",-122.4194155,37.7749295
"47",-99.9018131,41.4925374
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",NA,NA
"54",-119.7725868,36.7468422
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",-111.8910474,40.7607793
"60",-119.1770516,34.1975048
"61",128.7714454,35.5994116
"62",-97.7413143,31.1950013
"63",-0.1277583,51.5073509
"64",-117.1610838,32.715738
"65",NA,NA
"66",NA,NA
"67",-95.712891,37.09024
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",-111.8484745,40.3879028
"73",-73.9441579,40.6781784
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",-100.4059384,32.4709519
"80",-95.712891,37.09024
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",-115.1398296,36.1699412
"87",NA,NA
"88",-95.712891,37.09024
"89",NA,NA
"90",-78.880315,43.0203347
"91",NA,NA
"92",-123.1207375,49.2827291
"93",-81.3792365,28.5383355
"94",-81.5157535,27.6648274
"95",-116.419389,34.9592083
"96",NA,NA
"97",-99.9018131,31.9685988
"98",-120.7401385,47.7510741
"99",NA,NA
"100",NA,NA
"101",-85.323214,51.253775
"102",NA,NA
"103",-106.346771,56.130366
"104",50.0522984,40.4650264
"105",NA,NA
"106",NA,NA
"107",-74.0059728,40.7127753
"108",NA,NA
"109",-76.6412712,39.0457549
"110",NA,NA
"111",NA,NA
"112",-78.6568942,37.4315734
"113",NA,NA
"114",-84.3879824,33.7489954
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",-95.712891,37.09024
"120",-88.1833583,42.3991225
"121",NA,NA
"122",NA,NA
"123",-75.977985,36.8529263
"124",-84.3879824,33.7489954
"125",NA,NA
"126",-85.323214,51.253775
"127",-86.158068,39.768403
"128",NA,NA
"129",-104.6091409,38.2544472
"130",NA,NA
"131",-82.907123,40.4172871
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",-95.712891,37.09024
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",-95.9979883,41.2523634
"141",NA,NA
"142",-80.4549026,38.5976262
"143",-105.665368,33.448532
"144",NA,NA
"145",NA,NA
"146",-117.8311428,33.7174708
"147",-117.1610838,32.715738
"148",-111.0937311,34.0489281
"149",-75.977985,36.8529263
"150",NA,NA
"151",-86.0341463,34.6723069
"152",NA,NA
"153",NA,NA
"154",-115.1398296,36.1699412
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",77.3910265,28.5355161
"159",-122.2913078,37.8271784
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",-76.6121893,39.2903848
"164",NA,NA
"165",-74.1495889,41.1148179
"166",-77.4360481,37.5407246
"167",-88.8278057,30.4113097
"168",NA,NA
"169",-111.0937311,34.0489281
"170",-121.3726043,38.4010138
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",-111.0937311,34.0489281
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",-73.9441579,40.6781784
"181",-77.8163682,34.8309998
"182",NA,NA
"183",-101.8551665,33.5778631
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",-76.6412712,39.0457549
"192",-99.9018131,31.9685988
"193",-118.40853,33.9415889
"194",-77.0368707,38.9071923
"195",NA,NA
"196",NA,NA
"197",-111.8910474,40.7607793
"198",NA,NA
"199",NA,NA
"200",-120.5542012,43.8041334
"201",-112.3496021,33.4355977
"202",NA,NA
"203",-117.3263893,33.890925
"204",NA,NA
"205",NA,NA
"206",-75.6966001,39.7876112
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",-97.155012,32.8809603
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",NA,NA
"215",NA,NA
"216",-89.3985283,40.6331249
"217",-88.9936873,40.4842027
"218",-115.1466648,36.0971945
"219",NA,NA
"220",-76.5319854,3.4516467
"221",NA,NA
"222",NA,NA
"223",-118.1058333,34.0961111
"224",NA,NA
"225",-97.330053,37.6871761
"226",-82.0354225,41.4517093
"227",NA,NA
"228",NA,NA
"229",-84.3826719,33.835855
"230",NA,NA
"231",NA,NA
"232",-120.6596156,35.2827524
"233",NA,NA
"234",-87.6297982,41.8781136
"235",-117.3794834,33.1958696
"236",NA,NA
"237",NA,NA
"238",-99.9018131,31.9685988
"239",NA,NA
"240",-86.902298,32.3182314
"241",NA,NA
"242",-84.4399406,39.0217283
"243",-105.7820674,39.5500507
"244",NA,NA
"245",NA,NA
"246",-117.2919818,33.0369867
"247",NA,NA
"248",-118.2436849,34.0522342
"249",-80.138934,26.1603626
"250",-119.4179324,36.778261
"251",NA,NA
"252",NA,NA
"253",-81.6943605,41.49932
"254",NA,NA
"255",-74.0059728,40.7127753
"256",-93.3346524,39.469745
"257",-106.4850217,31.7618778
"258",-94.6858998,46.729553
"259",NA,NA
"260",-123.1250678,49.2788273
"261",NA,NA
"262",-117.4260465,47.6587802
"263",NA,NA
"264",-85.6602058,30.1588129
"265",NA,NA
"266",100.5017651,13.7563309
"267",NA,NA
"268",NA,NA
"269",-2.4314092,42.468445
"270",NA,NA
"271",-118.2436849,34.0522342
"272",-116.8792553,33.0413604
"273",-122.2913078,37.8271784
"274",-71.0588801,42.3600825
"275",NA,NA
"276",NA,NA
"277",-98.2625127,29.8752177
"278",NA,NA
"279",-93.9214109,35.1409156
"280",-90.2417434,29.9940924
"281",-116.419389,38.8026097
"282",NA,NA
"283",-71.1626756,42.3463503
"284",NA,NA
"285",-117.3476695,33.9503386
"286",NA,NA
"287",-85.6023643,44.3148443
"288",-76.6412712,39.0457549
"289",NA,NA
"290",NA,NA
"291",NA,NA
"292",NA,NA
"293",NA,NA
"294",-82.4571776,27.950575
"295",NA,NA
"296",-121.1413678,37.753592
"297",NA,NA
"298",NA,NA
"299",-77.0010786,41.2411897
"300",NA,NA
"301",NA,NA
"302",-104.990251,39.7392358
"303",NA,NA
"304",-3.7037902,40.4167754
"305",NA,NA
"306",NA,NA
"307",-95.988653,36.152231
"308",-96.7898034,46.8771863
"309",-111.9343636,33.3363836
"310",NA,NA
"311",-118.3884078,33.8491816
"312",-114.0708459,51.0486151
"313",-84.4277001,33.6407282
"314",-80.5204096,43.4642578
"315",NA,NA
"316",NA,NA
"317",NA,NA
"318",NA,NA
"319",NA,NA
"320",NA,NA
"321",NA,NA
"322",NA,NA
"323",NA,NA
"324",NA,NA
"325",NA,NA
"326",-73.9441579,40.6781784
"327",NA,NA
"328",NA,NA
"329",NA,NA
"330",-93.2650108,44.977753
"331",-80.8431267,35.2270869
"332",NA,NA
"333",-84.3879824,33.7489954
"334",NA,NA
"335",NA,NA
"336",-72.479037,41.8186802
"337",-73.087749,41.6032207
"338",NA,NA
"339",-97.1383744,49.895136
"340",-94.6858998,46.729553
"341",-79.9310512,32.7764749
"342",NA,NA
"343",NA,NA
"344",-85.7584557,38.2526647
"345",-95.3698028,29.7604267
"346",-82.4571776,27.950575
"347",NA,NA
"348",-81.1637245,33.836081
"349",NA,NA
"350",-112.0740373,33.4483771
"351",NA,NA
"352",NA,NA
"353",-70.6619888,42.6159285
"354",NA,NA
"355",NA,NA
"356",NA,NA
"357",NA,NA
"358",-122.3320708,47.6062095
"359",NA,NA
"360",NA,NA
"361",-74.0059728,40.7127753
"362",NA,NA
"363",NA,NA
"364",-116.5452921,33.8302961
"365",NA,NA
"366",NA,NA
"367",-95.3698028,29.7604267
"368",-117.5515185,47.7795103
"369",-73.962679,40.769436
"370",-121.7405167,38.5449065
"371",NA,NA
"372",NA,NA
"373",NA,NA
"374",-97.1383744,49.895136
"375",NA,NA
"376",-90.2338232,38.6354598
"377",NA,NA
"378",NA,NA
"379",NA,NA
"380",-158.0000565,21.4389123
"381",-80.1448023,40.7866883
"382",NA,NA
"383",NA,NA
"384",NA,NA
"385",NA,NA
"386",NA,NA
"387",-118.2436849,34.0522342
"388",NA,NA
"389",NA,NA
"390",NA,NA
"391",NA,NA
"392",NA,NA
"393",-119.4179324,36.778261
"394",-76.5319854,3.4516467
"395",-104.8202462,41.1399814
"396",-111.9507042,33.8333716
"397",-114.0708459,51.0486151
"398",-87.6297982,41.8781136
"399",-119.4179324,36.778261
"400",NA,NA
"401",NA,NA
"402",NA,NA
"403",-74.0059728,40.7127753
"404",-118.2436849,34.0522342
"405",-118.2436849,34.0522342
"406",NA,NA
"407",-94.5785667,39.0997265
"408",NA,NA
"409",-72.6076286,42.546129
"410",-97.3307658,32.7554883
"411",NA,NA
"412",-86.7816016,36.1626638
"413",NA,NA
"414",NA,NA
"415",NA,NA
"416",-95.8547119,36.2695388
"417",NA,NA
"418",NA,NA
"419",-99.9018131,31.9685988
"420",NA,NA
"421",-104.990251,39.7392358
"422",NA,NA
"423",NA,NA
"424",NA,NA
"425",-80.1917902,25.7616798
"426",-121.4943996,38.5815719
"427",NA,NA
"428",-80.2213477,40.5169767
"429",NA,NA
"430",-88.0398912,30.6953657
"431",NA,NA
"432",-94.6858998,46.729553
"433",-118.1937395,33.7700504
"434",NA,NA
"435",NA,NA
"436",NA,NA
"437",NA,NA
"438",NA,NA
"439",NA,NA
"440",-71.4161565,42.279286
"441",-118.2436849,34.0522342
"442",-82.4571776,27.950575
"443",NA,NA
"444",NA,NA
"445",NA,NA
"446",NA,NA
"447",-95.712891,37.09024
"448",-87.896646,42.9475534
"449",-94.348268,35.436756
"450",NA,NA
"451",NA,NA
"452",NA,NA
"453",-76.6412712,39.0457549
"454",-94.5785667,39.0997265
"455",-118.2436849,34.0522342
"456",NA,NA
"457",-83.555212,41.6639383
"458",-117.1610838,32.715738
"459",NA,NA
"460",NA,NA
"461",-84.0043513,34.1206564
"462",-74.0059728,40.7127753
"463",-75.4901833,40.6084305
"464",NA,NA
"465",NA,NA
"466",NA,NA
"467",-105.7820674,39.5500507
"468",-95.3698028,29.7604267
"469",NA,NA
"470",NA,NA
"471",-80.8431267,35.2270869
"472",NA,NA
"473",NA,NA
"474",NA,NA
"475",NA,NA
"476",NA,NA
"477",NA,NA
"478",NA,NA
"479",NA,NA
"480",-81.2362107,33.9815369
"481",NA,NA
"482",-87.9806265,42.0883603
"483",NA,NA
"484",-83.1499322,42.6583661
"485",-106.4850217,31.7618778
"486",-119.4179324,36.778261
"487",NA,NA
"488",-82.8123646,39.8466556
"489",-95.712891,37.09024
"490",-120.8958242,38.8375215
"491",-79.3831843,43.653226
"492",NA,NA
"493",-96.8291685,32.96179
"494",NA,NA
"495",-122.6764815,45.5230622
"496",NA,NA
"497",NA,NA
"498",-97.6651268,30.6349251
"499",-77.0368707,38.9071923
"500",NA,NA
"501",NA,NA
"502",-77.4360481,37.5407246
"503",NA,NA
"504",NA,NA
"505",NA,NA
"506",NA,NA
"507",-87.6297982,41.8781136
"508",NA,NA
"509",-122.7377841,45.3990475
"510",NA,NA
"511",-84.3879824,33.7489954
"512",NA,NA
"513",NA,NA
"514",-86.5861037,34.7303688
"515",NA,NA
"516",-105.1019275,40.1672068
"517",-114.0708459,51.0486151
"518",NA,NA
