"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#GiveGood as apposed to give bad?",FALSE,0,NA,2017-12-17 05:58:22,FALSE,NA,"942272740966518784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","izzomich",0,FALSE,FALSE,NA,NA
"2","Circling through the local Starbucks checking out our limited edition gift card!  They have been celebrating artist‚Ä¶ https://t.co/gVF76NDpvw",FALSE,41,NA,2017-12-17 05:56:12,TRUE,NA,"942272194884730880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","larsulrich",4,FALSE,FALSE,NA,NA
"3","RT @CarieShipman: #GiveGood retweet for a chance to win Starbucks for life.",FALSE,0,NA,2017-12-17 05:54:43,FALSE,NA,"942271819855417344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NostalgiaOD",1359,TRUE,FALSE,NA,NA
"4","#GiveGood smile at a stranger. It might make their day better!",FALSE,0,NA,2017-12-17 05:53:02,FALSE,NA,"942271397602217985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","atlantajoy",0,FALSE,FALSE,NA,NA
"5","RT @starbucksprtnrs: Back again! #GiveGood to your friends and family this weekend with a 30% off coupon. Head over to: https://t.co/AUWtZR‚Ä¶",FALSE,0,NA,2017-12-17 05:52:54,FALSE,NA,"942271364924354560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbholasjonas1",37,TRUE,FALSE,NA,NA
"6","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",FALSE,0,NA,2017-12-17 05:51:39,FALSE,NA,"942271049936375808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbholasjonas1",663,TRUE,FALSE,NA,NA
"7","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",FALSE,0,NA,2017-12-17 05:51:25,FALSE,NA,"942270989903286272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbholasjonas1",330,TRUE,FALSE,NA,NA
"8","Sending love to my homies at @Starbucks ‚ù§Ô∏è #GiveGood",FALSE,0,NA,2017-12-17 05:51:18,FALSE,NA,"942270960463474688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbholasjonas1",0,FALSE,FALSE,NA,NA
"9","RT @MsD422: #givegood¬† Spread cheer this holiday season by surprising someone with a‚Äùjust because‚Äù act of kindness.",FALSE,0,NA,2017-12-17 05:50:49,FALSE,NA,"942270840061566976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","LoveleeJess",291,TRUE,FALSE,NA,NA
"10","RT @mainstreetnorth: Starbucks sent me a hand written note. Like how freaking adorable is this! #givegood  I seriously needed this today. h‚Ä¶",FALSE,0,NA,2017-12-17 05:48:20,FALSE,NA,"942270215588478977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dukesgirl09",17,TRUE,FALSE,NA,NA
"11","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",FALSE,0,NA,2017-12-17 05:47:50,FALSE,NA,"942270088136286208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandieeCakes",290,TRUE,FALSE,NA,NA
"12","Happy holidays  #givegood",FALSE,0,NA,2017-12-17 05:46:36,FALSE,NA,"942269778621734912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Bea88179094",0,FALSE,FALSE,NA,NA
"13","we are called to be kind. #givegood",FALSE,0,NA,2017-12-17 05:46:27,FALSE,NA,"942269742697476096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeckalinaR",0,FALSE,FALSE,NA,NA
"14","RT @AngiGrrrl: Loving all the Starbucks love. #GiveGood",FALSE,0,NA,2017-12-17 05:44:26,FALSE,NA,"942269232502501376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","findingadrian",1,TRUE,FALSE,NA,NA
"15","#givegood, spreading holiday cheer with Starbucks! Ì†ΩÌ∏ç",FALSE,0,NA,2017-12-17 05:44:17,FALSE,NA,"942269195693314050",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Kicks4Berni",0,FALSE,FALSE,NA,NA
"16","Loving all the Starbucks love. #GiveGood",FALSE,1,NA,2017-12-17 05:42:26,FALSE,NA,"942268732323385344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngiGrrrl",1,FALSE,FALSE,NA,NA
"17","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",FALSE,0,NA,2017-12-17 05:42:24,FALSE,NA,"942268724127547393",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dfung1136",663,TRUE,FALSE,NA,NA
"18","RT @ladygaga: Thank u @Starbucks &amp; @Spotify for celebrating artists who #GiveGood with a donation to @BTWFoundation, and to great organizat‚Ä¶",FALSE,0,NA,2017-12-17 05:40:22,FALSE,NA,"942268209301999616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tania_Stefanni",5238,TRUE,FALSE,NA,NA
"19","Be kind #givegood",FALSE,0,NA,2017-12-17 05:36:39,FALSE,NA,"942267275750596608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m_amassey77",0,FALSE,FALSE,NA,NA
"20","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",FALSE,0,NA,2017-12-17 05:32:56,FALSE,NA,"942266339510620160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bruhitzNaZair",575,TRUE,FALSE,NA,NA
"21","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",FALSE,0,NA,2017-12-17 05:32:14,FALSE,NA,"942266161525338113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gibbgreen",330,TRUE,FALSE,NA,NA
"22","I see more and more homeless people with dogs. Carry dog food with you in baggies. If you give to a homeless person‚Ä¶ https://t.co/rzZJP5Xe9E",FALSE,1,NA,2017-12-17 05:30:18,TRUE,NA,"942265675397001217",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ilvlcymw",1,FALSE,FALSE,NA,NA
"23","Join Starbucks and #givegood during the holidays.",FALSE,0,NA,2017-12-17 05:29:27,FALSE,NA,"942265464473956354",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HannahJ022094",0,FALSE,FALSE,NA,NA
