"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/mIbDq14CFA",FALSE,0,NA,2017-12-17 05:50:12,TRUE,NA,"942270684784345088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","knaidudesigns",0,FALSE,FALSE,NA,NA
"2","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",FALSE,0,NA,2017-12-17 05:32:56,FALSE,NA,"942266339510620160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bruhitzNaZair",575,TRUE,FALSE,NA,NA
"3","I want STARBUCKS SOOOO BADLYÌ†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏™Ì†ΩÌ∏™Ì†ΩÌ∏™#StarbucksforLife https://t.co/OX5PbQF40W",FALSE,0,NA,2017-12-17 05:32:45,FALSE,NA,"942266293809569792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bruhitzNaZair",0,FALSE,FALSE,NA,NA
"4","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/t5vf2iN479",FALSE,0,NA,2017-12-17 05:23:33,TRUE,NA,"942263978104905728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jate_G",0,FALSE,FALSE,NA,NA
"5","I just won 75 bonus stars!! #StarbucksForLife -  Come play! 
 https://t.co/VJbeJhQEqP",FALSE,1,NA,2017-12-17 05:20:04,FALSE,NA,"942263100912234496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MrUNC07",0,FALSE,FALSE,NA,NA
"6","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/H5J5Rkexwm",FALSE,0,NA,2017-12-17 05:12:39,FALSE,NA,"942261235931791360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hrosana99",0,FALSE,FALSE,NA,NA
"7","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/KsCkIhguW3",FALSE,0,NA,2017-12-17 04:55:26,TRUE,NA,"942256902548934656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustUhhPERFECT",0,FALSE,FALSE,NA,NA
"8","I passed a Starbucks with a drive-thru today &amp; I did a double take &amp; got way to excited about the idea of going thr‚Ä¶ https://t.co/0xYObSveND",FALSE,0,NA,2017-12-17 04:55:16,TRUE,NA,"942256861813858305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jeniferhargrove",0,FALSE,FALSE,NA,NA
"9","Geez, I think I should rent a room at @Starbucks! I'm there more then my own home! ‚ù§Ô∏è #StarbucksforLife",FALSE,0,NA,2017-12-17 04:52:23,FALSE,NA,"942256134311825408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jojolynnjls",0,FALSE,FALSE,NA,NA
"10","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/pNE8XrlYf2",FALSE,0,NA,2017-12-17 04:47:55,FALSE,NA,"942255012511498240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MomOTriplets",0,FALSE,FALSE,NA,NA
"11","Add to your collection &amp; fill up your game board for a chance to win prizes inc. Starbucks 4 Life. #StarbucksforLife https://t.co/YcEX14HkcF",FALSE,0,NA,2017-12-17 04:44:35,FALSE,NA,"942254172635766785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HizChosenVessel",0,FALSE,FALSE,NA,NA
"12","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Ur4olLioZu",FALSE,0,NA,2017-12-17 04:40:33,TRUE,NA,"942253156389470208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jenn_ces",0,FALSE,FALSE,NA,NA
