"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @_mwaseem_: The racist attack on me and my 7 yr old boy happened in #starbucks on 5th Avenue #manhattan #NewYork https://t.co/hbRCrgGAQv",FALSE,0,NA,2017-12-17 05:58:01,FALSE,NA,"942272654131781632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deniseisabroad",2,TRUE,FALSE,NA,NA
"2","RT @_mwaseem_: We were being abused by a stupid guy for 10 mins for being Indian( which I am not) and the #starbucks staff were silent at t‚Ä¶",FALSE,0,NA,2017-12-17 05:57:47,FALSE,NA,"942272592014065664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bombaywalee",3,TRUE,FALSE,NA,NA
"3","RT @_mwaseem_: We were being abused by a stupid guy for 10 mins for being Indian( which I am not) and the #starbucks staff were silent at t‚Ä¶",FALSE,0,NA,2017-12-17 05:56:32,FALSE,NA,"942272277017694208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monaeltahawy",3,TRUE,FALSE,NA,NA
"4","We were being abused by a stupid guy for 10 mins for being Indian( which I am not) and the #starbucks staff were si‚Ä¶ https://t.co/uFCKeYxgNE",FALSE,4,NA,2017-12-17 05:56:18,TRUE,NA,"942272221363490817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_mwaseem_",3,FALSE,FALSE,NA,NA
"5","@Starbucks please start carrying ketchup packets for use on your breakfast sandwiches",FALSE,0,"Starbucks",2017-12-17 05:56:13,FALSE,NA,"942272198479433728","30973","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sluggggggger",0,FALSE,FALSE,NA,NA
"6","RT @rockcenternyc: Did you see the ""Give Good"" squad at #RockCenter yesterday? The @Starbucks team was on the Plaza giving out free gift ca‚Ä¶",FALSE,0,NA,2017-12-17 05:55:50,FALSE,NA,"942272103532912640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QuinnHedrickQHC",8,TRUE,FALSE,NA,NA
"7","My baby having his first @Starbucks after 7 weeks ‚ò∫Ô∏è so proud of my nephew! ‚úàÔ∏èÌ†ΩÌ±®Ì†ºÌøª‚Äç‚úàÔ∏èÌ†ΩÌ≤û https://t.co/fN4DDjpu7q",FALSE,0,NA,2017-12-17 05:55:45,FALSE,NA,"942272080522854401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maggiesixtos",0,FALSE,FALSE,NA,NA
"8","When coffee is life. #starbucks #seasonal #cup #collection #coffee #addiction https://t.co/hKnxHYK06V",FALSE,0,NA,2017-12-17 05:54:03,FALSE,NA,"942271651911266305",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iProcrastinate",0,FALSE,FALSE,NA,NA
"9","RT @nickjonas: In Tampa for #JingleBall tonight &amp; I think I‚Äôll stop by the @Starbucks at Westshore and Kennedy with my friends @Ember_tech‚Ä¶",FALSE,0,NA,2017-12-17 05:52:45,FALSE,NA,"942271328232583168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbholasjonas1",392,TRUE,FALSE,NA,NA
"10","RT @_mwaseem_: The racist attack on me and my 7 yr old boy happened in #starbucks on 5th Avenue #manhattan #NewYork https://t.co/hbRCrgGAQv",FALSE,0,NA,2017-12-17 05:52:11,FALSE,NA,"942271182434381824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monaeltahawy",2,TRUE,FALSE,NA,NA
"11","The racist attack on me and my 7 yr old boy happened in #starbucks on 5th Avenue #manhattan #NewYork https://t.co/hbRCrgGAQv",FALSE,4,NA,2017-12-17 05:51:53,FALSE,NA,"942271110590140416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_mwaseem_",2,FALSE,FALSE,NA,NA
