"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"4","__hannahking","@Starbucks is even more magical at Disney Ì†ΩÌ∏ãÌ†ΩÌ≤ïÌ†ºÌæÜÌ†ΩÌ±ë https://t.co/FAcIqZ5XwJ",0,0,0,0,-82.907123,40.4172871
"5","__marikari__","Thank you @Starbucks for the gift card Ì†ºÌæÅ‚ùÑÔ∏è‚ù§Ô∏è #GIVEGOOD https://t.co/rVBzAI2uZq",0,0,0,0,-87.6297982,41.8781136
"8","_Cwizza","RT @kron4news: VIDEO: Woman gets angry at #WalnutCreek #Starbucks customers for speaking Korean https://t.co/SbYZibZWzw",14,0,-1,1,-122.2913078,37.8271784
"9","_deeezeee","@amy_wolff @Starbucks @katyperry I have the same cup! Is this a KT Perry thing!? haha",0,1,0,0,-118.2436849,34.0522342
"15","_kenj","Sitting in @Starbucks and listening to surrounding conversations can be quite the eye opener.",0,0,0,0,-112.0740373,33.4483771
"20","_leeannrenae","@Starbucks this is ur chance https://t.co/zLocSVbCr8",0,1,0,0,-78.6568942,37.4315734
"26","_XRB_","RT @Edrek10: The year is 2018: You buy a coffee at @Starbucks instantaneously and without fees. Don't wander in the past, there is only one‚Ä¶",5,0,0,0,-84.2619169,33.969435
"27","_XRB_","@Edrek10 @Starbucks The year is 2017 you tried to buy a coffee with bitcoin it's cost you $15 in fees and you have‚Ä¶ https://t.co/d1UylEMy1A",3,14,0,0,-84.2619169,33.969435
"30","13205WestgateSB","RT @Starbucks: We'd gift-wrap this tweet...but we don't know how. Get 30% off holiday coffee &amp; gifts, now through 12/26. Ì†ºÌæÅ https://t.co/mss‚Ä¶",63,0,0,0,-81.8643039,41.4414366
"33","1BlkCreole","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",583,0,1,1,-122.4194155,37.7749295
