"","lon","lat"
"1",-122.4194155,37.7749295
"2",-74.0059728,40.7127753
"3",NA,NA
"4",18.49041,-22.95764
"5",-74.0059728,40.7127753
"6",NA,NA
"7",-73.9441579,40.6781784
"8",-74.0059728,40.7127753
"9",NA,NA
"10",NA,NA
"11",-74.1290668,40.0684603
"12",NA,NA
"13",NA,NA
"14",15.2000001,45.1
"15",-77.0909809,38.8816208
"16",NA,NA
"17",-111.0937311,39.3209801
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",-58.3815591,-34.6036844
"23",-118.2436849,34.0522342
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",-102.2915677,21.8852562
"28",-106.393373,31.77985
"29",-81.5157535,27.6648274
"30",-117.9353413,34.1069527
"31",NA,NA
"32",-92.7573431,44.9716549
"33",-74.4056612,40.0583238
"34",NA,NA
"35",-81.5157535,27.6648274
"36",101.5613392,3.20933
"37",-119.4179324,36.778261
"38",NA,NA
"39",-122.2913078,37.8271784
"40",-77.0368707,38.9071923
"41",-122.6726867,49.1340179
"42",-74.0059728,40.7127753
"43",139.7092437,35.7511648
"44",NA,NA
"45",-77.4360481,37.5407246
"46",NA,NA
"47",NA,NA
"48",-65.2175903,-26.8082848
"49",-88.7878678,43.7844397
"50",-71.1447732,42.1584324
"51",18.49041,-22.95764
"52",-121.4943996,38.5815719
"53",36.5982621,50.5997134
"54",-71.0588801,42.3600825
"55",-81.9817726,35.046508
"56",-122.3255254,37.5629917
"57",-86.7816016,36.1626638
"58",-51.92528,-14.235004
"59",NA,NA
"60",-86.5861037,34.7303688
"61",-122.2823421,47.8638853
"62",18.49041,-22.95764
"63",-83.3671432,40.2364486
"64",NA,NA
"65",136.7222906,35.3912272
"66",-79.5394625,43.8430176
"67",NA,NA
"68",-82.907123,40.4172871
"69",-122.0651819,37.9100783
"70",NA,NA
"71",-89.3985283,40.6331249
"72",NA,NA
"73",-122.3320708,47.6062095
"74",NA,NA
"75",-83.985,42.43472
"76",-84.4221987,33.6562298
"77",NA,NA
"78",NA,NA
"79",104.990963,12.565679
"80",NA,NA
"81",-75.1652215,39.9525839
"82",-118.3286614,34.0928092
"83",NA,NA
"84",-79.5121101,43.7214032
"85",-83.4832692,42.4311464
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",-82.9195514,42.5868882
"90",-100.3161126,25.6866142
"91",-74.7648404,41.8666651
"92",-104.9763983,38.9041151
"93",-128.6340211,66.2556759
"94",-83.3671432,40.2364486
"95",139.6423446,35.4475073
"96",NA,NA
"97",-70.2601759,43.7435343
"98",NA,NA
"99",NA,NA
"100",-94.6274636,39.114053
"101",106.8650395,-6.17511
"102",-117.8311428,33.7174708
"103",NA,NA
"104",NA,NA
